log_id,case_id,source,format_family,outcome_class,record_validity,entity_type,entity_type_validity,email_address,email_address_validity,resource_url,resource_url_validity,event_timestamp,event_timestamp_validity,tool,tool_validity,latitude,latitude_validity,longitude,longitude_validity,ip_address,ip_address_validity,action_phrase,action_phrase_validity,status,status_validity,secondary_values,scenario_tags,notes
1,GEN-00001,generated,F3,DECLINED,VALID,bot,VALID,bot-monitor@infra.example.internal,VALID,http://10.20.0.244:8080/actuator/health,VALID,May 17 22:00:20,VALID,Wget/1.21.4,VALID,40.6862,VALID,-73.9986,VALID,172.28.86.149,VALID,authentication failed,VALID,FAIL,VALID,ip_like_in_resource=10.20.0.244,coordinates_decimal;coordinates_json_object;ip_like_in_resource;json_spaced;resource_http_health_ip;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
2,GEN-00002,generated,F2,SUCCESS,VALID,API_CLIENT,VALID,api-client-8426@partners.example.net,VALID,,MISSING,12/Mar/2026:13:49:32 +0800,VALID,,MISSING,N1.30563,VALID,E103.77876,VALID,198.51.100.171,VALID,was permitted to access,VALID,200 OK,VALID,,coordinates_hemi_prefix;email_angle_wrapper;entity_bracket_prefix;sentence_template_B;timestamp_style_apache,
3,GEN-00003,generated,F1,SUCCESS,VALID,USER,VALID,ali@example.com,VALID,/home,VALID,1772834919,VALID,Firefox/124.0.2,VALID,-33.8503848,VALID,151.1772048,VALID,2001:0db8:103e:81dd:7f43:9227:bf56:457f,VALID,Permission granted,VALID,200,VALID,,coordinates_combined_field;coordinates_decimal;ipv6_full;resource_relative_portal;timestamp_style_epoch_s,
4,GEN-00004,generated,F3,SUCCESS,VALID,user,VALID,anita.li+test@corp.example.com,VALID,/reports/q1,VALID,May 25 13:37:36,VALID,Edge/124.0.2478.67,VALID,18.496,VALID,73.851,VALID,198.51.100.130,VALID,request permitted,VALID,success,VALID,,coordinates_decimal;coordinates_json_object;email_plus_tag;json_spaced;resource_relative_portal;syslog_rfc3164;timestamp_no_timezone;timestamp_no_year;timestamp_style_syslog,
5,GEN-00005,generated,F1,SUCCESS,VALID,USER,VALID,kavya-fernandes@example.co.uk,VALID,https://portal.corp.example.com/home?id=6736,VALID,1778283322860,VALID,Firefox/125.0,VALID,51.4694,VALID,-0.1542,VALID,::ffff:192.0.2.127,VALID,Permission granted,VALID,200,VALID,,coordinates_decimal;email_multi_part_tld;ipv6_ipv4_mapped;resource_https_portal;timestamp_style_epoch_ms,
6,GEN-00006,generated,F2,SUCCESS,VALID,SERVICE_ACCOUNT,VALID,svc-etl@infra.example.internal,VALID,s3://prod-backups/daily/2026-01-02/,VALID,2026-05-27T19:16:21Z,VALID,python-requests/2.31.0,VALID,"51°33'05.8""N",VALID,"0°05'29.4""W",VALID,172.30.163.4,VALID,was permitted to access,VALID,SUCCESS,VALID,,coordinates_dms;date_in_resource;email_angle_wrapper;entity_bracket_prefix;resource_s3;resource_trailing_punctuation;sentence_template_C;timestamp_style_iso_z,
7,GEN-00007,generated,F3,DECLINED,VALID,user,VALID,ROHAN.HADDAD@CORP.EXAMPLE.COM,VALID,/calendar,VALID,2026-01-13T08:27:01.337Z,VALID,Chrome/123.0.6312.122,VALID,-23.5215,VALID,-46.6578,VALID,172.26.91.180,VALID,permission denied,VALID,BLOCKED,VALID,,coordinates_decimal;email_uppercase;resource_relative_portal;syslog_rfc5424;timestamp_style_iso_ms_z,
8,GEN-00008,generated,F4,SUCCESS,VALID,User,VALID,kenji.silva+alerts@example.com.au,VALID,/profile/settings?id=5669,VALID,02/Jan/2026:07:53:34 +0530,VALID,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36",VALID,19.107710,VALID,72.895837,VALID,192.0.2.115,VALID,Session started,VALID,302,VALID,ip_like_in_tool=123.0.0.0,coordinates_decimal;coordinates_wkt_lon_lat_order;email_angle_wrapper;email_multi_part_tld;email_plus_tag;ip_like_in_tool;resource_relative_portal;timestamp_style_apache;user_agent_full,
9,GEN-00009,generated,F1,DECLINED,VALID,,MISSING,svc-monitoring@infra.example.internal,VALID,s3://tf-state/prod/network.tfstate,VALID,2026-01-19T13:22:41.470+05:30,VALID,psql/16.2,VALID,13.015,VALID,77.562,VALID,172.18.251.107,VALID,Login failed,VALID,FAIL,VALID,,coordinates_decimal;resource_s3;timestamp_style_iso_ms_offset,
10,GEN-00010,generated,F2,SUCCESS,VALID,Admin,VALID,NOAH.ROSSI@CORP.EXAMPLE.COM,VALID,db://prod/customers,VALID,20/May/2026:23:40:39 +0530,VALID,Postman/10.24.3,VALID,18.54,VALID,73.89,VALID,10.183.253.152,VALID,authenticated successfully to,VALID,ok,VALID,,coordinates_decimal;email_uppercase;resource_db;sentence_template_A;timestamp_style_apache,
