log_id,raw_log
1,"May 17 22:00:20 lb01 gatekeeper[2671]: {""level"": ""notice"", ""entity_type"": ""bot"", ""principal"": ""bot-monitor@infra.example.internal"", ""resource"": ""http://10.20.0.244:8080/actuator/health"", ""tool"": ""Wget/1.21.4"", ""remote_addr"": ""172.28.86.149"", ""geo"": {""lat"": 40.6862, ""lng"": -73.9986}, ""msg"": ""authentication failed"", ""result"": ""FAIL""}"
2,"[12/Mar/2026:13:49:32 +0800] [API_CLIENT] <api-client-8426@partners.example.net> was permitted to access an unspecified resource from 198.51.100.171, location [N1.30563 E103.77876], result 200 OK"
3,"1772834919 | entity=USER | principal=ali@example.com | action=""Permission granted"" | resource=/home | tool=Firefox/124.0.2 | ip=2001:0db8:103e:81dd:7f43:9227:bf56:457f | geo=-33.8503848,151.1772048 | status=200"
4,"May 25 13:37:36 vpn01 authd[5628]: {""entity"": ""user"", ""user"": ""anita.li+test@corp.example.com"", ""res"": ""/reports/q1"", ""user_agent"": ""Edge/124.0.2478.67"", ""remote_addr"": ""198.51.100.130"", ""geo"": {""lat"": 18.496, ""lng"": 73.851}, ""msg"": ""request permitted"", ""result"": ""success""}"
5,"1778283322860 | entity=USER | email=kavya-fernandes@example.co.uk | action=Permission granted | resource=https://portal.corp.example.com/home?id=6736 | tool=Firefox/125.0 | ip=::ffff:192.0.2.127 | lat=51.4694 | lon=-0.1542 | status=200"
6,"2026-05-27T19:16:21Z [SUCCESS] [SERVICE_ACCOUNT] <svc-etl@infra.example.internal> connecting from 172.30.163.4 with python-requests/2.31.0 located at 51°33'05.8""N 0°05'29.4""W was permitted to access s3://prod-backups/daily/2026-01-02/."
7,"<134>1 2026-01-13T08:27:01.337Z fw01 authd 771 AUDIT - {""entity_type"":""user"",""user"":""ROHAN.HADDAD@CORP.EXAMPLE.COM"",""resource"":""/calendar"",""user_agent"":""Chrome/123.0.6312.122"",""remote_addr"":""172.26.91.180"",""latitude"":-23.5215,""longitude"":-46.6578,""msg"":""permission denied"",""status"":""BLOCKED""}"
8,"192.0.2.115 - - [02/Jan/2026:07:53:34 +0530] ""PUT /profile/settings?id=5669 HTTP/1.1"" 302 26434 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Safari/537.36"" type=User user=<kenji.silva+alerts@example.com.au> loc=POINT(72.895837 19.107710) msg=""Session started"""
9,"2026-01-19T13:22:41.470+05:30 | email=svc-monitoring@infra.example.internal | action=""Login failed"" | path=s3://tf-state/prod/network.tfstate | client=psql/16.2 | ip=172.18.251.107 | lat=13.015 | lon=77.562 | result=FAIL"
10,"[20/May/2026:23:40:39 +0530] Admin NOAH.ROSSI@CORP.EXAMPLE.COM authenticated successfully to db://prod/customers via Postman/10.24.3 from 10.183.253.152 (loc: 18.54, 73.89) [ok]"
11,"2026-05-21 15:07:49 | type=CUSTOMER | email=wei_murphy@shop.example.org | action=Request allowed | resource=https://shop.example.org/orders/48345 | tool=Firefox/124.0.2 | src_ip=198.51.100.156 | lat=51°33'01.8""N | lon=0°09'47.5""W | status=ALLOWED"
12,"203.0.113.82:58401 - - [2026-01-26T12:02:43+00:00] ""GET /api/v2/invoices?status=open&page=16 HTTP/1.1"" 201 34867 ""-"" ""PostmanRuntime/7.37.0"" loc=POINT(-0.1580 51.4999) msg=""Authorized"""
13,"02/18/2026 12:25:54 PM - Admin anonymous was blocked from accessing /admin/billing/export via MobileSafari/17.4.1 from 2001:db8:d09:e59e::3b83 at lon 36.8083 - status: DENIED"
14,"<38>1 2026-04-28T21:19:57.714Z auth-gw02 authd 522 AUDIT - {""level"": ""warn"", ""entity"": ""user"", ""email"": ""isabela.iyer@corp.example.com"", ""res"": ""/documents/policies"", ""tool"": ""Safari/17.4.1"", ""src_ip"": ""10.24.104.48"", ""geo"": {""lat"": 40.6824, ""lng"": -73.9672}, ""msg"": ""allowed"", ""status"": ""PASS""}"
15,"2026-04-22 23:56:16 | entity=GUEST | action=""ACCESS GRANTED"" | resource=https://portal.corp.example.com/projects/alpha?id=2718 | agent=MobileSafari/17.4.1 | ip=192.0.2.139 | geo=64.14687,-21.98175 | status=ALLOWED"
16,"<38>1 2026-02-20T03:15:03.592Z sso02 audit 6234 AUDIT - {""entity"":""user"",""principal"":""PRIYA.MURPHY@EXAMPLE.COM"",""resource"":""https://portal.corp.example.com/dashboard"",""tool"":""Safari/17.4.1"",""src_ip"":""2001:db8::9c7c"",""geo"":{""lat"":-23.56010,""lng"":-46.58938},""msg"":""login successful"",""status"":""SUCCESS""}"
17,"2026/05/14 01:26:02;GUEST;visitor.5796@guest.example.org;Firefox/125.0;-;;-;198.51.100.236;Server error;ERROR"
18,"2001:db8:4054:7842::9410 - - [2026-05-05 17:36:16.709] ""GET /home HTTP/1.1"" 403 5847 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36"" type=User user=<aisha.joshi63@eu.corp.example.com> loc=POINT(-0.17707 51.49711) msg=""Blocked by WAF policy"""
19,"10.216.199.173 - - [16/Feb/2026:07:17:47 +0530] ""GET /timesheets HTTP/1.1"" - 7908 ""-"" ""Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1"" type=USER user=<ingrid-santos@eu.corp.example.com> msg=""Unauthorized"""
20,"2026-06-17T03:58:32Z | entity=api_client | user=api-client-8440@partners.example.net | action=Access denied | url=https://api.example.com/api/v2/invoices?status=open&page=1 | client=python-requests/2.31.0 | ip=192.0.2.71 | lat=-33.8988373 | lng=151.1712208 | status=BLOCKED"
21,"Jun 11 01:45:22 api-gw01 openvpn[9962]: {""principal_type"":""admin"",""email"":""elena_nair@corp.example.com"",""resource"":""/admin/audit"",""user_agent"":""Firefox/124.0.2"",""src_ip"":""10.224.159.210"",""location"":""1.3243,103.8670"",""msg"":""authentication failed"",""status"":""fail""}"
22,"Jan 29 22:00:00 fw01 openvpn[5281]: {""entity_type"": ""admin"", ""principal"": ""kavya.khan@hq.example.net"", ""target"": ""https://admin.corp.example.com/admin/audit"", ""tool"": ""Safari/17.4.1"", ""src_ip"": ""10.42.154.33"", ""event"": ""allowed"", ""http_status"": 200}"
23,"203.0.113.195 - - [2026-04-18 18:51:57.226] ""GET https://shop.example.org/cart HTTP/1.1"" 403 29308 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36 Edg/124.0.2478.67"" type=CUSTOMER user=<meera.iyer@shop.example.org> geo=40.6645681,-73.9738083 msg=""Forbidden"""
24,"192.168.113.127 - - [23/Mar/2026:06:57:01 +0000] ""GET /home HTTP/1.1"" 200 22825 ""-"" ""Mozilla/5.0 (Macintosh; Intel Mac OS X 14_4_1) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Safari/605.1.15"" type=User user=<sofia.silva@example.co.uk> msg=""Login successful"""
25,"2026-05-19T02:14:38Z | entity=admin | email=ethan3258@corp.example.com | action=""Permission granted"" | path=/admin/roles/6919 | tool=Chrome/123.0.6312.122 | ip=2001:db8::5400 | lng=139.700 | outcome=SUCCESS"
26,"2026-05-20T13:05:51Z | entity=USER | user=emma.zhang@example.com.au | action=access granted | resource=/reports/weekly?id=7059 | tool=Edge/124.0.2478.67 | ip=2001:db8:9e6b:efca::3ffa | lat=-23.54065 | lng=-46.63302 | outcome=success"
27,"23-01-2026 12:02;SERVICE_ACCOUNT;svc-reporting@infra.example.internal;Boto3/1.34.69;https://artifacts.example.internal/releases/2.16.0.68/app-2.16.0.68.zip;1.3418;103.8298;10.49.61.86;Declined by policy;REJECTED"
28,"[22/May/2026:13:40:42 +0530] daniel8518@example.com successfully accessed https://shop.example.org/orders/97557 via Safari/17.4.1 from 2001:db8:4d0a:f26f::923 at lat 12.9427 lon 77.5777 [ALLOWED]"
29,"2026-06-29T03:02:20.562-03:00 | entity=GUEST | email=visitor.8917@guest.example.org | action=Authenticated successfully | resource=- | tool=Firefox/125.0 | ip=192.0.2.26 | lat=-23.56 | lon=-46.59 | status=SUCCESS"
30,"1774140776809 | entity=USER | user=arjun.silva@mail.example.org | action=Permission granted | resource=https://portal.corp.example.com/dashboard?id=6999 | ip=2001:0db8:60f9:63d0:5793:9588:7026:56be | lat=-33.872728 | lon=151.160021 | status=PASS"
31,"2026-02-14T10:13:07-05:00 | action=Rate limited | email=svc-deploy@infra.example.internal | url=/etc/ssh/sshd_config | tool=python-requests/2.31.0 | entity=service-account | status=429 | geo=40.7414,-73.9909 | ip=2001:db8:c212:360e::738f"
32,"10.97.204.157:49590 - rohan.sharma@corp.example.com [25/May/2026:13:41:50 +0900] ""POST /reports/weekly HTTP/1.1"" 200 32159 ""-"" ""Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:124.0) Gecko/20100101 Firefox/124.0"" entity=User lat=35.6895 lon=139.6095 msg=""Request allowed"""
33,"06-03-2026 14:28;BOT;bot-monitor@infra.example.internal;curl/8.4.0;;;103.864;172.23.99.150;Access granted;success"
34,"2026-04-11T19:13:30.290+05:30 | entity=Customer | email=yuki.patel+test@mail.example.co.uk | action=""Login successful"" | resource=/cart | agent=Firefox/124.0.2 | ip=2001:db8:5481:e6ce::d882 | lat=19.1200 | lon=72.8892"
35,"2026-03-26T20:37:48.211+03:00 | entity=guest | user=guest_8913@example.com | action=""Authentication failed"" | resource=/catalog/items/17225 | src_ip=192.0.2.151 | lat=-1.29230 | lng=36.82240 | result=FAIL"
36,"06/17/2026 12:40:09 PM - Service Account svc-billing-sync@infra.example.internal was permitted to access db://prod/payments via python-requests/2.31.0 from 192.168.155.5 at lat 64.1776 lon -21.9716 [ALLOWED]"
37,"2026-05-20T07:11:39+05:30|entity=SERVICE_ACCOUNT|email=svc-reporting@infra.example.internal|action=""Access denied""|resource=htps://portal.corp.example.com/reports/weekly|tool=python-requests/2.31.0|client_ip=10.3.85.202|latitude=|status=403"
